Log		avg_mem	avg_stacksize	avg_totalsize	cmd	context_swaps	exitcode	forced_context_switches	fs_input	fs_output	max_mem	page_faults_majors	page_faults_minor	pagesize	rcpu	shmem	signals_rx	socket_messages_rx	socket_messages_tx	stime	unsharedmem	utime	vol_context_switches	wall
.1378714741.1454		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378714741.24364		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378714741.31655		0	0	0	"sh -c ls 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq.bz2 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq.bz2"	0	0	3	0	0	3568	0	493	4096	0%	0	0	0	0	0.00	0	0.00	3	0:00.00
.1378815112.16138		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378815112.24064		0	0	0	"sh -c ls 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq.bz2 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq.bz2"	0	0	2	0	0	3568	0	494	4096	0%	0	0	0	0	0.00	0	0.00	3	0:00.00
.1378815112.30736		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378979585.32022		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378979586.19149		0	0	0	"sh -c ls 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq.bz2 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq.bz2"	0	0	2	0	0	3584	0	495	4096	0%	0	0	0	0	0.00	0	0.00	5	0:00.00
.1378979586.9117		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378979607.27421		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378979607.27989		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378979607.28478		0	0	0	"sh -c ls 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq.bz2 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq.bz2"	0	0	2	0	0	3568	0	494	4096	0%	0	0	0	0	0.00	0	0.00	3	0:00.00
.1378979627.11817		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378979627.27425		0	0	0	"sh -c ls 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq.bz2 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq.bz2"	0	0	2	0	0	3568	0	495	4096	0%	0	0	0	0	0.00	0	0.00	3	0:00.00
.1378979627.29669		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378980004.14205		0	0	0	"sh -c ls 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq.bz2 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq.bz2"	0	0	2	0	0	3568	0	493	4096	0%	0	0	0	0	0.00	0	0.00	3	0:00.00
.1378980004.2663		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.1378980004.31907		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Makefile.1378714741.27701		0	0	0	"sh -c /usr/local/bwa/bwa-0.5.9/bwa aln -t 8 -q 10 -i 15 -I /usr/local/Genomes/H.Sapiens/hg19_sorted/bwa-0.5.9/reference.fa 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq > 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.sai"	0	0	633626	63550688	6809584	10532992	1	14747955	4096	659%	0	0	0	0	467.88	0	66232.93	379210	2:48:33
Makefile.1378724854.32323		0	0	0	"sh -c /usr/local/bwa/bwa-0.5.9/bwa aln -t 8 -q 10 -i 15 -I /usr/local/Genomes/H.Sapiens/hg19_sorted/bwa-0.5.9/reference.fa 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq > 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.sai"	0	0	641824	58954120	6764968	10675952	1	14580345	4096	677%	0	0	0	0	458.00	0	67178.33	388674	2:46:30
Makefile.1378734844.26316		0	0	0	"sh -c /usr/local/bwa/bwa-0.5.9/bwa sampe -a 500 -n 10 /usr/local/Genomes/H.Sapiens/hg19_sorted/bwa-0.5.9/reference.fa 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.sai 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.sai 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_1.clean.fq 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129_2.clean.fq > 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129.sam"	0	0	110765	120217312	178757504	15201344	5	510072785	4096	85%	0	0	0	0	2431.49	0	19588.28	31764	7:10:36
Makefile.1378760681.11038		0	0	0	"sh -c /usr/local/samtools/samtools-0.1.18/samtools view -bST /usr/local/Genomes/H.Sapiens/hg19_sorted/reference.fa -o 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129.bam 120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129.sam"	0	0	97035	178760192	57792032	13536	4	35317136	4096	73%	0	0	0	0	187.37	0	5748.37	44882	2:15:05
Makefile.1378768786.11208		0	0	0	"sh -c java -jar /usr/local/picard-tools/picard-tools-1.84/MergeSamFiles.jar OUTPUT=120916.bam VALIDATION_STRINGENCY=LENIENT USE_THREADING=True INPUT=120916_I224_FCD1CFTACXX_L5_SZAXPI014614-129.bam"	0	0	748839	3402952	4641792	18654416	86	1347765	4096	0%	0	0	0	0	68.06	0	259.60	2668271	12:51:23
Makefile.1378815112.28782		0	0	0	"sh -c /usr/local/samtools/samtools-0.1.18/samtools sort 120916.bam 120916.sort"	0	0	76341	85996112	104796496	6755216	3	512139	4096	73%	0	0	0	0	173.33	0	7874.09	104091	3:01:55
Makefile.1378826028.16286		0	0	0	"sh -c /usr/local/samtools/samtools-0.1.18/samtools index 120916.sort.bam"	0	0	1544	2187840	17168	79616	3	5262	4096	91%	0	0	0	0	15.26	0	455.27	1019	8:31.66
Makefile.1378826540.14094		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Makefile.1378831060.24211		0	0	0	"sh -c perl /usr/local/breakdancer/breakdancer_deploy_1.3.5/lib/breakdancer-max-unstable/bam2cfg.pl 120916.sort.bam > 120916.break.cfg"	0	2	5	288	0	10240	2	908	4096	30%	0	0	0	0	0.01	0	0.00	26	0:00.06
Makefile.1378979586.10690		0	0	0	"sh -c perl /usr/local/breakdancer/breakdancer_deploy_1.3.5/lib/breakdancer-max-unstable/bam2cfg.pl 120916.sort.bam > 120916.break.cfg"	0	2	7	88	0	14944	0	1206	4096	70%	0	0	0	0	0.00	0	0.04	25	0:00.06
Makefile.1378979607.14935		0	0	0	"sh -c /data/DIV5/SASC/common/programs/pindel/trunk/pindel -f /usr/local/Genomes/H.Sapiens/hg19_sorted/reference.fa -i 120916.pindel.cfg -o 120916.pindel -I -T 8 -b 120916.ctx && touch 120916.pindel"	0	0	88	201928	0	531712	2	51897	4096	62%	0	0	0	0	0.46	0	4.94	21	0:08.63
Makefile.1378979607.20120		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Makefile.1378979607.5405		0	0	0	"sh -c /usr/local/breakdancer/breakdancer_deploy_1.3.5/bin/breakdancer-max 120916.break.cfg > 120916.ctx"	0	0	6	1648	8	5904	1	642	4096	0%	0	0	0	0	0.00	0	0.00	13	0:00.11
Makefile.1378979627.15653		0	0	0	"sh -c perl /usr/local/breakdancer/breakdancer_deploy_1.3.5/lib/breakdancer-max-unstable/bam2cfg.pl 120916.sort.bam > 120916.break.cfg"	0	2	4	0	0	14944	0	1207	4096	83%	0	0	0	0	0.01	0	0.03	14	0:00.05
Makefile.1378980004.21294		0	0	0	"sh -c perl /usr/local/breakdancer/breakdancer_deploy_1.3.5/lib/breakdancer-max-unstable/bam2cfg.pl 120916.sort.bam > 120916.break.cfg"	0	0	1803	3200	8	56496	1	4779	4096	82%	0	0	0	0	0.09	0	9.91	1842	0:12.16
Makefile.1378980016.1412		0	0	0	"sh -c /usr/local/breakdancer/breakdancer_deploy_1.3.5/bin/breakdancer-max 120916.break.cfg > 120916.ctx"	0	0	8055	0	4544	2303824	0	13633801	4096	99%	0	0	0	0	73.14	0	3735.58	20	1:03:29
Makefile.1378980016.24172		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Makefile.1378983827.20653		0	0	0	"sh -c /data/DIV5/SASC/common/programs/pindel/trunk/pindel -f /usr/local/Genomes/H.Sapiens/hg19_sorted/reference.fa -i 120916.pindel.cfg -o 120916.pindel -I -T 8 -b 120916.ctx && touch 120916.pindel"	0	0	1299556	6066216	1025344	43532528	0	45932548	4096	528%	0	0	0	0	384.66	0	123888.11	986649	6:31:50
Makefile.1379007337.28132		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/sv2circos.sh -s 120916"	0	0	37370	328	85888	29392	2	45361	4096	86%	0	0	0	0	4.27	0	14.60	82507	0:21.86
Makefile.1379007359.22382		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Makefile.1379011603.10969		0	0	0	"sh -c /usr/local/samtools/samtools-0.1.18/samtools flagstat 120916.sort.bam > 120916.flagstat"	0	0	1158	2248	8	3968	2	516	4096	99%	0	0	0	0	12.18	0	432.79	21	7:25.20
Makefile.1379012048.3902		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1 -d 120916 -c 1 -s 120916 -l 120916.inr.bed"	0	0	77	38520	38328	29488	2	14209	4096	18%	0	0	0	0	0.06	0	0.64	240	0:03.86
Makefile.1379012052.13502		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2 -d 120916 -c 2 -s 120916 -l 120916.inr.bed"	0	0	35	0	38328	29472	0	14194	4096	32%	0	0	0	0	0.04	0	0.78	174	0:02.52
Makefile.1379012055.23457		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3 -d 120916 -c 3 -s 120916 -l 120916.inr.bed"	0	0	48	0	38328	29488	0	14187	4096	37%	0	0	0	0	0.09	0	0.74	194	0:02.22
Makefile.1379012057.55		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4 -d 120916 -c 4 -s 120916 -l 120916.inr.bed"	0	0	52	0	38328	29488	0	14188	4096	27%	0	0	0	0	0.06	0	0.75	198	0:02.99
Makefile.1379012060.16444		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5 -d 120916 -c 5 -s 120916 -l 120916.inr.bed"	0	0	56	0	38328	29488	0	14196	4096	35%	0	0	0	0	0.06	0	0.72	187	0:02.23
Makefile.1379012062.28939		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr6 -d 120916 -c 6 -s 120916 -l 120916.inr.bed"	0	0	49	0	38328	29488	0	14203	4096	35%	0	0	0	0	0.07	0	0.75	187	0:02.29
Makefile.1379012065.30994		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr7 -d 120916 -c 7 -s 120916 -l 120916.inr.bed"	0	0	49	0	38328	29488	0	14209	4096	34%	0	0	0	0	0.06	0	0.77	184	0:02.42
Makefile.1379012067.7337		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr8 -d 120916 -c 8 -s 120916 -l 120916.inr.bed"	0	0	49	0	38328	29488	0	14195	4096	32%	0	0	0	0	0.06	0	0.74	196	0:02.52
Makefile.1379012070.25817		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr9 -d 120916 -c 9 -s 120916 -l 120916.inr.bed"	0	0	50	0	38328	29472	0	14207	4096	36%	0	0	0	0	0.07	0	0.74	187	0:02.22
Makefile.1379012072.10663		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr10 -d 120916 -c 10 -s 120916 -l 120916.inr.bed"	0	0	56	0	38328	29488	0	14195	4096	35%	0	0	0	0	0.06	0	0.76	170	0:02.33
Makefile.1379012074.29682		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr11 -d 120916 -c 11 -s 120916 -l 120916.inr.bed"	0	0	57	0	38328	29504	0	14195	4096	35%	0	0	0	0	0.07	0	0.68	178	0:02.13
Makefile.1379012077.29731		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr12 -d 120916 -c 12 -s 120916 -l 120916.inr.bed"	0	0	53	0	38328	29488	0	14201	4096	35%	0	0	0	0	0.08	0	0.72	186	0:02.28
Makefile.1379012079.10334		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr13 -d 120916 -c 13 -s 120916 -l 120916.inr.bed"	0	0	36	0	38328	29488	0	14207	4096	32%	0	0	0	0	0.06	0	0.68	184	0:02.32
Makefile.1379012081.13823		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr14 -d 120916 -c 14 -s 120916 -l 120916.inr.bed"	0	0	52	0	38328	29488	0	14213	4096	34%	0	0	0	0	0.08	0	0.75	180	0:02.42
